Sl. No.,India/State/UT,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Total
16,Jharkhand,370578,350630,721208,509436,475485,984921,310634,302325,612959,820070,777810,1597881,209575,209597,419172,201776,212579,414355
17,Karnataka,140304,131864,272168,197711,185751,383461,120699,114714,235413,318410,300464,618874,83400,78379,161779,83146,75737,158883
18,Kerala,14301,13479,27780,21058,19593,40650,12888,12510,25398,33946,32102,66048,7735,7663,15398,7119,6751,13871
19,Ladakh,10831,10044,20875,14708,13026,27734,9530,8226,17756,24239,21252,45490,6348,5984,12331,6566,6097,12663
20,Lakshadweep,2417,2213,4630,3611,3283,6894,2152,2345,4497,5763,5628,11391,1543,1453,2996,1520,1627,3147
21,Madhya Pradesh,811882,774627,1586509,1092373,1051921,2144293,567798,560143,1127941,1660171,1612064,3272235,357198,345079,702276,323765,321146,644911
22,Maharashtra,373561,350696,724257,564819,519047,1083866,347653,314620,662272,912471,833667,1746138,225617,202384,428001,218981,199543,418524
23,Manipur,32795,29473,62268,54711,48910,103622,40157,36229,76387,94868,85140,180008,30556,28270,58826,32047,31018,63065
24,Meghalaya,100024,94720,194744,126751,120194,246945,84557,81870,166426,211308,202064,413372,57743,56693,114437,60548,59498,120046
25,Mizoram,31025,29322,60347,41753,39361,81114,28309,26762,55071,70062,66124,136185,19923,19099,39022,22085,21475,43559
26,Nagaland,53396,48601,101997,79524,72512,152036,57083,52149,109232,136607,124660,261267,41130,37977,79107,42862,41791,84652
27,Odisha,371181,365225,736406,530956,524486,1055442,289563,280015,569579,820520,804501,1625021,184739,177335,362074,173248,168566,341815
28,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Rajasthan,457115,417488,874603,626253,567213,1193466,338919,308696,647616,965173,875910,1841082,216729,200268,416997,203181,195682,398864
31,Sikkim,4542,4268,8810,7686,7331,15018,6010,5793,11803,13696,13125,26821,4376,4248,8624,4884,4903,9787
32,Tamil Nadu,26483,23680,50163,38643,34941,73584,21860,20160,42020,60503,55101,115604,14096,12475,26571,12787,11457,24244
33,Telangana,113543,100123,213666,170316,152150,322465,101232,90560,191792,271548,242709,514257,69068,62169,131237,64176,56530,120706
